jop name,laocation,company name,experience,experience year,skills
Summer Data Science Internship,"New Cairo, Cairo, Egypt ",QARA,Entry Level,0 - 1 Yrs of Exp,"[' ∑ IT/Software Development', '', 'Data Science', ' ∑ Analysis', 'Computer Science', ' ∑ Information Technology (IT)']"
Data Science Intern,"Dubai, United Arab Emirates ",Merck Sharp & Dohme Corp,Not specified,None,"[' ∑ IT/Software Development', ' ∑ Engineering - Telecom/Technology', ' ∑ Administration', 'Data Entry', ' ∑ Microsoft Office', 'Data Science', ' ∑ Information Technology (IT)', 'Computer Science', 'Science']"
Product Owner (Data Science & Machine Learning within Fraud),"Dubai, United Arab Emirates ",Callsign,Not specified,None,"[' ∑ Project/Program Management', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Agile', ' ∑ Software Development', ' ∑ Business Analysis', ' ∑ Engineering', ' ∑ Computer Engineering']"
Senior Data Scientist - Hybrid,"Sheikh Zayed, Giza, Egypt ",Seoudi Supermarket,Experienced,3 - 5 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', 'Data Analysis', 'Data Science', ' ∑ Analysis', 'Computer Science', ' ∑ Machine Learning', ' ∑ Python', ' ∑ SQL']"
Senior Data Analyst,"Maadi, Cairo, Egypt ",Cilantro,Experienced,4 - 6 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Analysis', ' ∑ analytical', 'Computer Science', 'Data Analysis', 'Data Analyst', 'Data', ' ∑ Programming']"
Data Analyst,"Abbassia, Cairo, Egypt ",Care Services EG,Experienced,3 - 5 Yrs of Exp,"[' ∑ IT/Software Development', ' ∑ Analyst/Research', ' ∑ Analysis', ' ∑ analytical', ' ∑ BI', 'Computer Science', ' ∑ SQL', ' ∑ Statistics', ' ∑ Tableau', 'Data Analysis']"
Senior Data Analytics,"New Cairo, Cairo, Egypt ",Masria Digital Payment (MDP),Experienced,3 - 6 Yrs of Exp,"[' ∑ IT/Software Development', 'Computer Science', 'Data', ' ∑ BI']"
Data Scientist,"Maadi, Cairo, Egypt ",Confidential,Experienced,2 - 3 Yrs of Exp,"[' ∑ Marketing/PR/Advertising', 'Computer Science', 'Data', 'Data Science', 'data scientist', ' ∑ Information Technology (IT)', ' ∑ scientist']"
Data Analyst - United Arab Emirates University,"Dubai, United Arab Emirates ",Qureos,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', 'Data Analysis', ' ∑ Analysis', 'Computer Science', ' ∑ Information Technology (IT)', ' ∑ SQL', ' ∑ Microsoft Office', ' ∑ Microsoft Excel']"
Senior Data Analyst - KBR,"Dubai, United Arab Emirates ",Qureos,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', 'Data Analysis', ' ∑ Business Analysis', ' ∑ Microsoft Office', ' ∑ SQL']"
Senior Data Analyst,"Dubai, United Arab Emirates ",Q-Express Documents Transport - G25,Not specified,None,"[' ∑ Analyst/Research', ' ∑ Engineering - Telecom/Technology', ' ∑ Information Technology (IT)', 'Computer Science', ' ∑ Analysis', 'Data Analysis', ' ∑ Business Analysis', ' ∑ Microsoft Office', ' ∑ SQL']"
